time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1774430695.43,93,4277.436,4433.333,4183.077,4192.821,4262.051,450.0
1774430695.4377,94,4275.897,4435.897,4183.59,4187.179,4261.026,450.0
1774430695.4455,95,4265.641,4395.385,4192.821,4160.513,4235.897,16187.0
1774430695.4532,96,4260.513,4373.333,4193.846,4140.0,4206.667,450.0
1774430695.4611,97,4261.538,4393.846,4181.538,4155.385,4209.231,450.0
1774430695.4688,98,4257.436,4409.744,4172.821,4174.872,4251.282,450.0
1774430695.4766,99,4253.333,4406.667,4192.821,4167.692,4264.103,16187.0
1774430695.4843,100,4254.359,4388.205,4205.128,4162.051,4231.795,450.0
1774430695.4921,101,4241.026,4365.128,4185.128,4162.051,4214.359,450.0
1774430695.4998,102,4229.744,4383.077,4181.538,4158.462,4232.821,450.0
1774430695.5076,103,4245.128,4416.923,4195.897,4156.923,4242.564,16187.0
1774430695.5154,104,4265.641,4409.231,4194.872,4167.179,4231.282,450.0
1774430695.5232,105,4275.385,4397.436,4179.487,4182.051,4240.513,450.0
1774430695.5309,106,4277.949,4403.077,4158.462,4188.205,4266.154,450.0
1774430695.5387,107,4271.795,4394.872,4149.744,4187.179,4267.179,16187.0
1774430695.5464,108,4269.744,4400.513,4163.077,4189.231,4254.872,450.0
1774430695.5542,109,4274.359,4418.974,4194.359,4189.231,4255.385,450.0
1774430695.5619,110,4271.282,4400.513,4208.718,4172.821,4249.231,450.0
1774430695.5697,111,4270.769,4388.718,4195.897,4177.436,4246.667,16187.0
1774430695.5775,112,4272.821,4415.385,4188.718,4198.974,4255.385,450.0
1774430695.5852,113,4267.179,4425.641,4183.59,4184.103,4250.256,450.0
1774430695.593,114,4270.256,4401.026,4173.846,4160.0,4241.026,450.0
1774430695.6007,115,4282.051,4396.923,4180.0,4171.795,4244.615,16187.0
1774430695.6085,116,4281.538,4414.872,4198.462,4187.179,4238.974,450.0
1774430695.6163,117,4276.41,4410.769,4211.282,4183.077,4220.0,450.0
1774430695.6241,118,4269.744,4409.231,4197.436,4183.077,4217.949,450.0
1774430695.6318,119,4241.538,4418.462,4170.769,4167.692,4225.128,16187.0
1774430695.6396,120,4227.692,4400.513,4171.282,4140.513,4214.872,450.0
1774430695.6473,121,4251.795,4354.872,4175.897,4151.282,4191.282,450.0
1774430695.6551,122,4267.179,4337.436,4159.487,4176.923,4198.462,450.0
1774430695.6628,123,4245.128,4354.872,4145.128,4171.282,4228.205,16187.0
1774430695.6707,124,4222.564,4350.256,4146.667,4144.615,4207.179,450.0
1774430695.6784,125,4241.538,4338.462,4162.564,4149.744,4185.128,450.0
1774430695.6862,126,4258.462,4354.872,4174.359,4171.282,4217.436,450.0
