time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state
1774524994.8455,32,4232.821,4273.846,4155.385,4161.026,4277.949,0.0,0,1,rest
1774524994.8532,33,4232.821,4297.949,4168.205,4168.718,4270.769,0.0,0,1,rest
1774524994.8611,34,4235.897,4278.462,4181.538,4184.103,4265.641,0.0,0,1,rest
1774524994.8688,35,4252.308,4277.436,4177.436,4184.103,4277.436,0.0,0,1,rest
1774524994.8766,36,4256.923,4303.077,4180.0,4177.436,4275.897,0.0,0,1,rest
1774524994.8843,37,4246.667,4286.154,4193.846,4184.615,4254.359,0.0,0,1,rest
1774524994.892,38,4244.103,4251.282,4191.795,4198.462,4246.667,0.0,0,1,rest
1774524994.8998,39,4247.692,4259.487,4177.436,4188.205,4253.846,0.0,0,1,rest
1774524994.9075,40,4241.026,4284.615,4174.359,4160.0,4245.641,0.0,0,1,rest
1774524994.9154,41,4222.564,4295.897,4172.308,4157.436,4221.538,0.0,0,1,rest
1774524994.9231,42,4211.795,4282.564,4161.026,4170.256,4202.051,0.0,0,1,rest
1774524994.9309,43,4212.821,4267.692,4157.436,4166.667,4194.872,0.0,0,1,rest
1774524994.9387,44,4213.333,4272.821,4161.026,4171.795,4204.615,0.0,0,1,rest
1774524994.9464,45,4214.359,4284.615,4162.564,4186.667,4226.667,0.0,0,1,rest
1774524994.9542,46,4221.026,4285.128,4166.154,4183.077,4234.872,0.0,0,1,rest
1774524994.9619,47,4227.179,4268.718,4171.282,4169.231,4232.821,0.0,0,1,rest
1774524994.9697,48,4226.154,4257.949,4174.872,4170.769,4239.487,0.0,0,1,rest
1774524994.9775,49,4232.308,4271.795,4170.256,4184.103,4234.872,0.0,0,1,rest
1774524994.9852,50,4236.41,4290.769,4157.436,4175.385,4213.846,0.0,0,1,rest
1774524994.9929,51,4228.205,4278.974,4160.0,4161.538,4211.795,0.0,0,1,rest
1774524995.0007,52,4227.179,4278.462,4183.077,4173.333,4237.436,0.0,0,1,rest
1774524995.0084,53,4239.487,4296.923,4195.385,4180.513,4257.436,0.0,0,1,rest
1774524995.0161,54,4252.308,4277.436,4193.333,4170.769,4263.077,0.0,0,1,rest
1774524995.024,55,4245.641,4272.308,4194.359,4174.359,4266.154,0.0,0,1,rest
1774524995.0318,56,4228.205,4307.692,4195.385,4188.718,4273.333,0.0,0,1,rest
1774524995.0396,57,4233.333,4305.641,4193.846,4186.667,4291.282,0.0,0,1,rest
1774524995.0473,58,4247.692,4278.462,4186.154,4180.513,4308.205,0.0,0,1,rest
1774524995.055,59,4243.59,4285.641,4179.487,4181.538,4314.359,0.0,0,1,rest
1774524995.0628,60,4236.41,4293.333,4180.513,4174.872,4310.769,0.0,0,1,rest
1774524995.0706,61,4234.359,4272.821,4177.436,4161.026,4299.487,0.0,0,1,rest
1774524995.0784,62,4223.077,4272.821,4164.103,4148.718,4290.769,0.0,0,1,rest
1774524995.0861,63,4218.974,4291.282,4161.026,4146.154,4289.744,0.0,0,1,rest
1774524995.0939,64,4219.487,4289.744,4172.308,4149.744,4293.333,450.0,0,1,rest
1774524995.1016,65,4202.051,4272.821,4176.41,4148.718,4304.615,450.0,0,1,rest
1774524995.1094,66,4205.641,4276.923,4171.282,4155.897,4312.308,16217.0,0,1,rest
1774524995.1171,67,4229.231,4285.128,4167.179,4165.641,4303.59,450.0,0,1,rest
1774524995.125,68,4222.564,4273.846,4167.692,4157.436,4301.538,16232.0,0,1,rest
1774524995.1327,69,4201.026,4279.487,4165.641,4148.718,4305.641,450.0,0,1,rest
1774524995.1405,70,4199.487,4291.282,4167.179,4158.974,4290.769,16205.0,0,1,rest
1774524995.1482,71,4202.051,4269.744,4180.0,4163.59,4292.821,450.0,0,1,rest
1774524995.1559,72,4210.256,4265.641,4191.282,4161.026,4318.462,450.0,0,1,rest
1774524995.1637,73,4230.256,4282.051,4192.821,4173.333,4316.41,16174.0,0,1,rest
1774524995.1714,74,4234.872,4277.436,4184.103,4177.436,4297.436,450.0,0,1,rest
1774524995.1793,75,4230.256,4265.641,4187.179,4160.513,4293.846,16202.0,0,1,rest
1774524995.187,76,4242.564,4276.923,4210.769,4153.846,4295.385,450.0,0,1,rest
1774524995.1948,77,4252.821,4302.051,4211.282,4163.077,4291.795,450.0,0,1,rest
1774524995.2025,78,4239.487,4302.564,4186.154,4156.41,4280.513,450.0,0,1,rest
1774524995.2103,79,4215.385,4278.974,4180.0,4145.641,4259.487,16202.0,0,1,rest
1774524995.218,80,4206.154,4268.205,4192.308,4165.641,4256.923,450.0,0,1,rest
1774524995.2258,81,4213.333,4262.051,4194.872,4174.872,4271.282,450.0,0,1,rest
1774524995.2336,82,4206.154,4249.744,4192.821,4153.333,4254.359,450.0,0,1,rest
1774524995.2414,83,4197.436,4251.282,4190.769,4158.462,4230.256,16202.0,0,1,rest
1774524995.2491,84,4216.923,4269.744,4181.538,4182.564,4253.333,450.0,0,1,rest
1774524995.2569,85,4232.821,4279.487,4167.179,4177.949,4273.846,450.0,0,1,rest
1774524995.2646,86,4224.103,4275.385,4160.0,4159.487,4238.974,450.0,0,1,rest
1774524995.2724,87,4215.385,4258.462,4167.692,4153.333,4213.333,16202.0,0,1,rest
1774524995.2802,88,4214.872,4257.949,4171.795,4157.436,4235.385,450.0,0,1,rest
1774524995.288,89,4214.359,4275.897,4164.103,4165.128,4240.513,450.0,0,1,rest
1774524995.2957,90,4213.846,4272.308,4159.487,4164.615,4223.59,450.0,0,1,rest
1774524995.3034,91,4210.769,4258.974,4163.59,4162.051,4238.462,16202.0,0,1,rest
1774524995.3112,92,4213.846,4265.641,4171.282,4163.59,4260.513,450.0,0,1,rest
1774524995.319,93,4220.0,4274.359,4168.205,4161.538,4253.846,450.0,0,1,rest
1774524995.3267,94,4217.949,4270.769,4161.026,4158.462,4249.744,450.0,0,1,rest
1774524995.3345,95,4214.359,4261.026,4167.692,4157.436,4254.872,16202.0,0,1,rest
1774524995.3423,96,4207.179,4258.974,4175.385,4151.282,4243.077,450.0,0,1,rest
1774524995.35,97,4199.487,4266.667,4164.615,4154.359,4230.256,450.0,0,1,rest
1774524995.3578,98,4208.718,4257.436,4160.0,4159.487,4223.59,450.0,0,1,rest
1774524995.3655,99,4216.41,4248.718,4175.897,4153.333,4222.051,16202.0,0,1,rest
1774524995.3733,100,4215.385,4273.846,4183.59,4161.026,4236.923,450.0,0,1,rest
1774524995.381,101,4220.513,4276.41,4173.333,4167.179,4246.154,450.0,0,1,rest
1774524995.3889,102,4212.821,4248.718,4167.179,4151.282,4240.513,450.0,0,1,rest
1774524995.3966,103,4194.872,4255.897,4171.282,4139.487,4233.846,16202.0,0,1,rest
1774524995.4044,104,4200.0,4280.0,4179.487,4146.154,4219.487,450.0,0,1,rest
1774524995.4121,105,4215.897,4264.103,4179.487,4154.872,4214.359,450.0,0,1,rest
1774524995.4199,106,4222.051,4242.051,4175.385,4162.051,4229.744,450.0,0,1,rest
1774524995.4276,107,4227.692,4253.846,4175.385,4165.641,4225.128,16202.0,0,1,rest
1774524995.4354,108,4229.231,4273.846,4178.462,4170.256,4206.667,450.0,0,1,rest
1774524995.4432,109,4231.282,4286.667,4186.667,4182.564,4215.897,450.0,0,1,rest
1774524995.451,110,4238.974,4281.026,4187.692,4174.872,4243.59,450.0,0,1,rest
1774524995.4587,111,4235.385,4253.846,4180.0,4163.59,4261.026,16202.0,0,1,rest
1774524995.4665,112,4224.103,4253.333,4186.154,4181.538,4266.154,450.0,0,1,rest
1774524995.4742,113,4215.385,4278.462,4196.923,4191.795,4258.462,450.0,0,1,rest
1774524995.4819,114,4204.103,4266.667,4189.231,4178.462,4250.769,450.0,0,1,rest
1774524995.4897,115,4193.333,4238.462,4181.538,4164.615,4246.667,16202.0,0,1,rest
1774524995.4975,116,4190.769,4269.231,4186.154,4152.308,4244.103,450.0,0,1,rest
1774524995.5053,117,4191.282,4295.897,4184.615,4151.282,4255.897,450.0,0,1,rest
1774524995.513,118,4196.41,4253.333,4186.154,4163.59,4266.667,450.0,0,1,rest
1774524995.5208,119,4202.051,4240.0,4196.923,4164.615,4258.462,16202.0,0,1,rest
1774524995.5285,120,4202.564,4282.564,4198.974,4157.949,4264.615,450.0,0,1,rest
1774524995.5363,121,4207.179,4287.179,4198.974,4164.103,4285.128,450.0,0,1,rest
1774524995.5442,122,4215.385,4265.641,4206.667,4169.744,4280.0,450.0,0,1,rest
1774524995.5519,123,4209.744,4267.179,4197.436,4158.462,4260.0,16202.0,0,1,rest
1774524995.5596,124,4198.974,4263.077,4180.0,4150.256,4247.692,450.0,0,1,rest
1774524995.5674,125,4202.564,4256.923,4180.0,4157.949,4237.436,450.0,0,1,rest
1774524995.5751,126,4209.744,4263.077,4183.077,4163.59,4247.179,450.0,0,1,rest
1774524995.5829,127,4208.205,4245.128,4187.179,4153.846,4265.641,234.0,0,1,rest
1774524995.5906,0,4218.974,4245.641,4204.615,4164.615,4271.282,450.0,0,1,rest
1774524995.5985,1,4250.769,4284.615,4214.359,4194.872,4280.513,450.0,0,1,rest
1774524995.6062,2,4259.487,4289.744,4202.051,4193.333,4282.564,16225.0,0,1,rest
1774524995.6139,3,4242.051,4272.308,4193.333,4169.744,4262.051,450.0,0,1,rest
1774524995.6217,4,4241.026,4274.872,4193.846,4166.667,4252.821,16234.0,0,1,rest
1774524995.6294,5,4248.718,4272.821,4176.923,4170.769,4255.897,450.0,0,1,rest
1774524995.6372,6,4240.0,4266.154,4161.026,4169.231,4250.769,16195.0,0,1,rest
1774524995.645,7,4229.231,4276.41,4167.692,4189.744,4257.436,450.0,0,1,rest
1774524995.6528,8,4230.769,4282.051,4177.949,4201.538,4277.949,450.0,0,1,rest
1774524995.6606,9,4233.333,4267.179,4178.462,4174.359,4287.692,16194.0,0,1,rest
1774524995.6683,10,4234.359,4256.923,4172.308,4162.051,4292.308,450.0,0,1,rest
1774524995.6761,11,4231.795,4257.949,4168.718,4175.897,4295.385,16213.0,0,1,rest
1774524995.6838,12,4226.154,4265.128,4171.282,4174.872,4290.769,450.0,0,1,rest
1774524995.6916,13,4225.641,4278.462,4170.256,4162.564,4280.0,450.0,0,1,rest
1774524995.6993,14,4223.077,4280.0,4163.077,4163.077,4269.231,450.0,0,1,rest
1774524995.7071,15,4219.487,4266.667,4170.256,4170.769,4260.0,16213.0,0,1,rest
1774524995.7149,16,4222.051,4261.026,4185.128,4171.282,4258.974,0.0,0,1,rest
1774524995.7226,17,4223.59,4269.231,4181.538,4166.154,4265.641,0.0,0,1,rest
1774524995.7304,18,4229.744,4280.513,4177.436,4170.256,4271.795,0.0,0,1,rest
1774524995.7381,19,4244.103,4273.333,4182.051,4182.051,4276.923,0.0,0,1,rest
1774524995.7458,20,4245.641,4251.282,4176.923,4174.872,4276.923,0.0,0,1,rest
1774524995.7537,21,4224.103,4257.436,4166.154,4164.615,4257.949,0.0,0,1,rest
1774524995.7615,22,4213.846,4280.513,4166.154,4177.949,4230.769,0.0,0,1,rest
1774524995.7693,23,4224.103,4262.051,4174.359,4178.462,4224.103,0.0,0,1,rest
1774524995.777,24,4225.128,4252.308,4170.769,4163.59,4230.256,0.0,0,1,rest
1774524995.7847,25,4212.308,4277.436,4157.949,4163.077,4226.154,0.0,0,1,rest
1774524995.7925,26,4205.128,4284.103,4155.385,4168.205,4220.0,0.0,0,1,rest
1774524995.8002,27,4219.487,4277.436,4162.051,4166.154,4221.538,0.0,0,1,rest
