time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1772893791.0829,30,4170.256,4432.821,4082.564,4158.974,4165.641,0.0
1772893791.0906,31,4191.795,4419.487,4153.846,4161.538,4178.974,0.0
1772893791.0985,32,4184.103,4406.154,4186.154,4164.615,4186.667,0.0
1772893791.1063,33,4172.821,4396.923,4145.128,4165.641,4174.872,0.0
1772893791.114,34,4196.41,4408.718,4105.641,4169.231,4164.103,0.0
1772893791.1217,35,4196.41,4411.795,4106.667,4164.615,4158.974,0.0
1772893791.1295,36,4177.949,4397.436,4133.333,4159.487,4170.256,0.0
1772893791.1372,37,4196.923,4414.872,4146.667,4168.718,4197.436,0.0
1772893791.1449,38,4208.205,4456.923,4151.795,4167.692,4196.41,0.0
1772893791.1528,39,4194.359,4463.077,4158.974,4158.974,4183.077,0.0
1772893791.1606,40,4193.333,4421.026,4176.41,4164.103,4189.231,0.0
1772893791.1683,41,4190.256,4401.026,4170.256,4169.231,4186.667,0.0
1772893791.1761,42,4182.051,4423.59,4117.436,4165.641,4171.282,0.0
1772893791.1838,43,4184.615,4426.154,4102.051,4162.564,4168.205,0.0
1772893791.1916,44,4185.641,4408.718,4130.769,4166.154,4174.359,0.0
1772893791.1993,45,4186.667,4418.462,4152.821,4170.769,4180.0,0.0
1772893791.2072,46,4205.641,4430.769,4136.923,4177.436,4190.769,0.0
1772893791.2149,47,4208.718,4427.179,4098.974,4174.872,4186.154,0.0
1772893791.2226,48,4185.128,4432.821,4096.41,4164.615,4175.385,0.0
1772893791.2304,49,4179.487,4422.051,4133.846,4165.128,4190.769,0.0
1772893791.2382,50,4192.821,4400.0,4175.897,4163.077,4192.821,0.0
1772893791.2459,51,4196.41,4400.0,4152.821,4152.308,4170.769,0.0
1772893791.2536,52,4195.897,4411.795,4092.308,4152.821,4181.026,0.0
1772893791.2615,53,4193.333,4406.667,4093.846,4161.026,4204.615,0.0
1772893791.2692,54,4193.333,4406.667,4131.795,4167.179,4198.462,0.0
1772893791.277,55,4208.718,4431.282,4139.487,4173.333,4191.282,0.0
1772893791.2847,56,4208.718,4441.538,4134.872,4167.692,4190.769,0.0
1772893791.2925,57,4177.949,4413.846,4125.128,4160.0,4172.821,0.0
1772893791.3002,58,4167.692,4393.333,4122.051,4168.205,4156.41,0.0
1772893791.308,59,4192.821,4405.128,4135.897,4186.154,4173.846,0.0
1772893791.3158,60,4206.154,4404.615,4127.692,4189.744,4196.41,0.0
1772893791.3236,61,4202.051,4398.462,4122.051,4170.769,4192.821,0.0
1772893791.3313,62,4208.718,4414.359,4136.41,4170.769,4191.795,0.0
1772893791.3391,63,4204.103,4397.436,4131.795,4183.077,4196.41,0.0
1772893791.3468,64,4188.718,4385.641,4127.692,4177.949,4198.462,450.0
1772893791.3546,65,4197.436,4427.179,4131.795,4182.051,4200.0,450.0
1772893791.3624,66,4214.359,4443.59,4128.718,4192.308,4192.308,16234.0
1772893791.3702,67,4220.0,4399.487,4129.744,4183.59,4192.308,450.0
1772893791.3779,68,4204.615,4387.179,4129.231,4170.256,4198.462,16283.0
1772893791.3857,69,4194.359,4411.282,4136.923,4170.769,4188.205,450.0
1772893791.3934,70,4214.359,4415.897,4152.821,4180.513,4176.41,0.0
1772893791.4011,71,4225.128,4420.513,4150.256,4182.051,4190.769,450.0
1772893791.4089,72,4220.513,4430.769,4144.615,4174.359,4208.718,450.0
1772893791.4167,73,4227.179,4424.615,4146.667,4170.256,4209.744,16237.0
1772893791.4245,74,4233.846,4419.487,4149.744,4173.333,4209.744,450.0
1772893791.4322,75,4227.179,4430.769,4159.487,4172.821,4204.103,16175.0
1772893791.44,76,4222.564,4429.231,4159.487,4166.667,4191.282,450.0
1772893791.4477,77,4226.154,4398.462,4149.744,4169.231,4190.769,450.0
1772893791.4555,78,4220.513,4390.256,4153.846,4166.667,4190.769,450.0
1772893791.4632,79,4213.333,4429.231,4171.795,4155.385,4184.103,16175.0
1772893791.4711,80,4214.359,4449.744,4165.128,4153.846,4186.154,450.0
1772893791.4788,81,4220.513,4416.923,4152.821,4155.385,4178.462,450.0
1772893791.4866,82,4234.359,4404.615,4158.462,4160.513,4177.949,450.0
1772893791.4943,83,4238.974,4423.59,4149.744,4171.282,4203.59,16175.0
1772893791.5021,84,4229.231,4426.667,4148.718,4166.667,4212.821,450.0
1772893791.5098,85,4226.154,4406.154,4153.846,4157.436,4200.0,450.0
1772893791.5176,86,4238.974,4394.872,4151.282,4166.667,4192.821,450.0
1772893791.5254,87,4243.59,4418.974,4150.256,4177.949,4197.436,16175.0
1772893791.5332,88,4237.436,4438.974,4134.872,4177.436,4209.744,450.0
1772893791.5409,89,4237.436,4425.128,4134.872,4172.308,4220.0,450.0
1772893791.5487,90,4254.359,4417.949,4145.128,4171.795,4228.718,450.0
1772893791.5564,91,4262.051,4425.128,4146.667,4180.0,4234.872,16175.0
1772893791.5642,92,4238.462,4428.718,4148.205,4185.641,4226.667,450.0
1772893791.5719,93,4229.231,4424.615,4141.026,4179.487,4219.487,450.0
1772893791.5797,94,4258.974,4417.436,4131.795,4171.282,4232.308,450.0
1772893791.5875,95,4280.513,4428.718,4134.872,4175.385,4245.641,16175.0
1772893791.5952,96,4270.256,4422.564,4150.256,4182.564,4242.564,450.0
1772893791.603,97,4250.256,4392.821,4153.333,4180.0,4232.308,450.0
1772893791.6107,98,4239.487,4409.231,4129.744,4172.308,4221.026,450.0
1772893791.6185,99,4237.436,4444.615,4117.949,4160.513,4207.179,16175.0
1772893791.6263,100,4240.513,4431.282,4134.359,4152.308,4201.538,450.0
1772893791.6341,101,4228.205,4414.359,4147.692,4149.744,4203.59,450.0
1772893791.6418,102,4203.59,4428.205,4146.154,4138.974,4194.872,450.0
1772893791.6496,103,4216.923,4414.359,4122.051,4139.487,4188.718,16175.0
1772893791.6573,104,4249.231,4378.462,4107.179,4144.615,4186.154,450.0
1772893791.6651,105,4238.462,4393.333,4127.692,4132.821,4178.462,450.0
1772893791.6728,106,4213.333,4436.41,4143.59,4133.333,4188.718,450.0
1772893791.6807,107,4220.0,4444.615,4141.538,4143.59,4195.897,16175.0
1772893791.6885,108,4241.026,4417.949,4128.718,4143.077,4176.41,450.0
1772893791.6962,109,4243.077,4385.128,4107.692,4140.513,4175.897,450.0
1772893791.7039,110,4225.128,4382.051,4112.821,4144.103,4198.974,450.0
1772893791.7117,111,4211.282,4417.949,4142.051,4147.179,4201.538,16175.0
1772893791.7194,112,4220.513,4431.282,4155.385,4150.256,4192.308,450.0
1772893791.7271,113,4244.615,4408.718,4119.487,4164.615,4203.077,450.0
1772893791.735,114,4249.231,4407.179,4092.821,4169.744,4209.231,450.0
1772893791.7427,115,4238.974,4419.487,4118.974,4162.564,4207.179,16175.0
1772893791.7505,116,4249.744,4412.821,4133.846,4165.641,4221.026,450.0
1772893791.7582,117,4260.513,4408.718,4129.744,4172.821,4226.154,450.0
1772893791.766,118,4251.282,4412.821,4131.282,4172.821,4212.821,450.0
1772893791.7738,119,4244.103,4412.308,4125.128,4171.795,4211.795,16175.0
1772893791.7815,120,4246.667,4415.385,4134.872,4166.667,4221.538,450.0
1772893791.7894,121,4239.487,4409.231,4144.103,4153.846,4204.103,450.0
1772893791.7971,122,4227.179,4397.436,4137.949,4157.436,4182.564,450.0
1772893791.8048,123,4249.744,4405.128,4135.897,4181.538,4211.795,16175.0
1772893791.8126,124,4271.795,4404.615,4142.564,4188.718,4237.949,450.0
1772893791.8203,125,4245.641,4395.897,4146.154,4169.231,4219.487,450.0
1772893791.8281,126,4234.359,4426.667,4150.769,4156.41,4209.744,450.0
1772893791.8358,127,4259.487,4455.385,4151.282,4162.564,4216.41,234.0
1772893791.8437,0,4262.051,4436.923,4147.179,4174.359,4211.795,450.0
1772893791.8514,1,4246.667,4421.026,4150.769,4172.821,4203.077,450.0
1772893791.8592,2,4244.615,4426.667,4153.846,4159.487,4201.538,16232.0
1772893791.8669,3,4242.051,4421.026,4161.026,4165.641,4210.256,450.0
1772893791.8746,4,4240.513,4394.359,4161.026,4178.974,4205.128,16249.0
1772893791.8824,5,4244.615,4384.103,4152.821,4166.667,4186.154,450.0
1772893791.8903,6,4233.846,4413.846,4156.41,4153.333,4185.641,0.0
1772893791.898,7,4221.026,4428.205,4158.974,4154.872,4194.359,450.0
1772893791.9058,8,4239.487,4402.564,4157.949,4164.615,4200.0,450.0
1772893791.9135,9,4261.538,4390.256,4145.641,4173.333,4208.718,16227.0
1772893791.9213,10,4260.513,4419.487,4138.462,4171.282,4210.256,450.0
1772893791.929,11,4253.846,4446.667,4152.308,4165.641,4210.769,16194.0
1772893791.9368,12,4255.385,4434.359,4146.667,4161.538,4213.333,450.0
1772893791.9446,13,4265.641,4413.333,4137.949,4158.974,4212.308,450.0
1772893791.9524,14,4256.41,4420.0,4140.0,4153.333,4198.974,450.0
1772893791.9601,15,4234.359,4423.59,4143.59,4149.744,4184.103,16194.0
1772893791.9679,16,4244.615,4390.256,4143.59,4161.538,4195.385,0.0
1772893791.9756,17,4269.231,4392.821,4136.923,4174.359,4216.923,0.0
1772893791.9834,18,4269.744,4433.333,4141.538,4171.795,4221.026,0.0
1772893791.9911,19,4255.897,4427.179,4144.615,4164.615,4210.256,0.0
1772893791.9989,20,4241.026,4402.564,4160.513,4156.923,4195.897,0.0
1772893792.0067,21,4241.538,4402.564,4145.641,4158.462,4193.846,0.0
1772893792.0144,22,4254.872,4406.154,4132.308,4160.513,4195.897,0.0
